model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,ae,32,REAL,20,7801,0.720042785048225,0.6402803063392639,0.7342299818992615,0.8101013898849487
qwen2_5_vl_7b,ae,32,REAL,21,7801,0.6737555891424398,0.5976954102516174,0.6812049150466919,0.755859911441803
qwen2_5_vl_7b,ae,32,REAL,22,7801,0.6606021814889715,0.578969419002533,0.6616246700286865,0.7435725927352905
qwen2_5_vl_7b,ae,32,REAL,23,7801,0.7163304641046305,0.6489254832267761,0.7225258350372314,0.790873110294342
qwen2_5_vl_7b,ae,32,REAL,24,7801,0.6729311898929494,0.5977026224136353,0.6714665293693542,0.7484007477760315
qwen2_5_vl_7b,ae,32,REAL,25,7801,0.7016069316364316,0.6303951144218445,0.7066129446029663,0.7801023125648499
qwen2_5_vl_7b,ae,32,REAL,26,7801,0.7006900733502274,0.6338120102882385,0.7027238011360168,0.7698675394058228
qwen2_5_vl_7b,ae,32,REAL,27,7801,0.7042934733076809,0.6328281164169312,0.7081806659698486,0.7811261415481567
qwen2_5_vl_7b,ae,32,REAL,28,7801,0.6586041044132968,0.5855683088302612,0.6575936675071716,0.7299156785011292
llava_1_5_7b,raw_attention,16,HALL,1,3487,0.05053818317844391,0.04889477230608463,0.050203513354063034,0.05174286104738712
llava_1_5_7b,raw_attention,16,HALL,2,3487,0.16473714170370124,0.1500658020377159,0.1633385419845581,0.17841288447380066
llava_1_5_7b,raw_attention,16,HALL,3,3487,0.8088389893196222,0.7785226702690125,0.8178112506866455,0.8502139151096344
llava_1_5_7b,raw_attention,16,HALL,4,3487,0.8569327271323098,0.83287113904953,0.8659294247627258,0.8911323845386505
llava_1_5_7b,raw_attention,16,HALL,5,3487,0.8113758128284895,0.7768236398696899,0.8214302659034729,0.8560183048248291
llava_1_5_7b,raw_attention,16,HALL,6,3487,0.7251228784673837,0.6776598691940308,0.7344191074371338,0.78178671002388
llava_1_5_7b,raw_attention,16,HALL,7,3487,0.6931613212777715,0.6402000486850739,0.7032079100608826,0.7566079497337341
llava_1_5_7b,raw_attention,16,HALL,8,3487,0.6231953789554013,0.5626340210437775,0.628679096698761,0.6892813146114349
llava_1_5_7b,raw_attention,16,HALL,9,3487,0.5476105222310246,0.4858822226524353,0.5469406247138977,0.6062075793743134
llava_1_5_7b,raw_attention,16,HALL,10,3487,0.5073792338029409,0.4494549036026001,0.5026180744171143,0.5603979825973511
llava_1_5_7b,raw_attention,16,HALL,11,3487,0.4670945994058105,0.4111573100090027,0.4587322473526001,0.5122787654399872
llava_1_5_7b,raw_attention,16,HALL,12,3487,0.4338716746769698,0.36493295431137085,0.4223707914352417,0.4875427186489105
llava_1_5_7b,raw_attention,16,HALL,13,3487,0.5221496432344449,0.4567282348871231,0.5140771269798279,0.5794111490249634
llava_1_5_7b,raw_attention,16,HALL,14,3487,0.41579088631078304,0.3530743420124054,0.4035723805427551,0.46560347080230713
