model,metric,label,layer,n_mentions,mean,q25,median,q75
internvl_2_5_8b,js,REAL,26,9993,0.001086266567415899,0.0003311145888496771,0.0005524557645435577,0.0011067882081230588
internvl_2_5_8b,js,REAL,27,9993,0.002747967992422148,0.0003006730634872675,0.0006332202467902507,0.002196774647889372
internvl_2_5_8b,js,REAL,28,9993,0.001800297792399423,0.0008852905277327885,0.0014580873403030577,0.0022994850307930794
internvl_2_5_8b,js,REAL,29,9993,0.003035491903286108,0.0013973817583973606,0.0021228718528215527,0.0036082308699113396
internvl_2_5_8b,js,REAL,30,9993,0.005224942470801545,0.0018924088924155028,0.003210845704740653,0.00639049210824034
internvl_2_5_8b,js,REAL,31,9993,0.0037100149495499337,0.0019533638255371474,0.0027916718771382664,0.004176729510417424
internvl_2_5_8b,js,REAL,32,9993,0.012550298364634725,0.009056951768754172,0.011712215975467611,0.015248937733447269
internvl_2_5_8b,js,HALL,1,1766,0.0027150926599009482,0.0017466474290482388,0.0024115339187166275,0.003277543212549431
internvl_2_5_8b,js,HALL,2,1766,0.0026488482582430906,0.001965036496394201,0.0024490080780108685,0.003124415405461693
internvl_2_5_8b,js,HALL,3,1766,0.0013990124898680715,0.0008020805674809014,0.0011149060939254554,0.0015982150559193447
internvl_2_5_8b,js,HALL,4,1766,0.002129170212093706,0.0014801011008967278,0.0020019963275442624,0.002598425022655697
internvl_2_5_8b,js,HALL,5,1766,0.0014292741970389437,0.0010130599862688144,0.0012707108925932877,0.001648814954980621
internvl_2_5_8b,js,HALL,6,1766,0.0015252602246456964,0.0007404221482521918,0.001120589315249341,0.0018551903442948607
internvl_2_5_8b,js,HALL,7,1766,0.0019003342103396065,0.0013520186505616466,0.00171429004000715,0.002223893066191356
internvl_2_5_8b,js,HALL,8,1766,0.0018440685024595145,0.0009876536122164457,0.0014636263140819783,0.002333729536087688
internvl_2_5_8b,js,HALL,9,1766,0.0010933101749763517,0.000784564936612897,0.0009887852233295535,0.0012565251558250363
internvl_2_5_8b,js,HALL,10,1766,0.0014793102285014636,0.0009978387409548838,0.001347476112284636,0.0018112996448857478
internvl_2_5_8b,js,HALL,11,1766,0.0013825725606105613,0.0009455947923547616,0.001238002456404974,0.0016246002211537786
internvl_2_5_8b,js,HALL,12,1766,0.0010458270475200507,0.0006921351110305303,0.0009357521536931513,0.0012750619650617738
internvl_2_5_8b,js,HALL,13,1766,0.0011791486553619274,0.0006929380893372792,0.0009712292973755122,0.001422272055338177
internvl_2_5_8b,js,HALL,14,1766,0.0007308786089793933,0.0004861485240161449,0.0006446788689926472,0.0008782511664545395
internvl_2_5_8b,js,HALL,15,1766,0.0009422174870200396,0.0006771780308249892,0.0008683055542875308,0.0011023161586462206
internvl_2_5_8b,js,HALL,16,1766,0.0016849215117048437,0.0010730986671464821,0.0014539687200260645,0.0020557729524175107
internvl_2_5_8b,js,HALL,17,1766,0.0011705085802381338,0.0007212331233341379,0.0009909730178382784,0.0014311396116415145
internvl_2_5_8b,js,HALL,18,1766,0.001296275019545154,0.000760506906623276,0.0010501860841585558,0.0014955471760200768
internvl_2_5_8b,js,HALL,19,1766,0.0022856135205660466,0.0014284870550056775,0.0020193207546315324,0.002749629047776307
internvl_2_5_8b,js,HALL,20,1766,0.005193230387690819,0.0023703855516487024,0.00362188826841291,0.005724699819578329
internvl_2_5_8b,js,HALL,21,1766,0.002061111791013375,0.0012588045896735419,0.0017028481289803124,0.002392057660981237
internvl_2_5_8b,js,HALL,22,1766,0.00418105685906461,0.0019078485099579545,0.003162873881307285,0.005377079143358394
internvl_2_5_8b,js,HALL,23,1766,0.0021679225039246512,0.0011970870933083939,0.001802654066819127,0.0027546805559995756
internvl_2_5_8b,js,HALL,24,1766,0.0018320516107982808,0.000828536270523244,0.0013721939602916553,0.002335325930222982
internvl_2_5_8b,js,HALL,25,1766,0.002727508210142314,0.000766592242369556,0.0015151823247223565,0.0030468827531673123
internvl_2_5_8b,js,HALL,26,1766,0.000884969436742155,0.00032047489211673645,0.0005010477242783926,0.0009369000706831829
internvl_2_5_8b,js,HALL,27,1766,0.002488524737909521,0.00024566394941368945,0.000445427230309493,0.0012871785804162632
internvl_2_5_8b,js,HALL,28,1766,0.0016280384083435801,0.0007340722673443933,0.0011910172450855367,0.0020483553125065163
internvl_2_5_8b,js,HALL,29,1766,0.0021684088323811698,0.0010674215265127401,0.0015581775621544974,0.0023095567193310387
internvl_2_5_8b,js,HALL,30,1766,0.0037570339364475583,0.0015625507505616625,0.0025117302863819106,0.004477557161475371
internvl_2_5_8b,js,HALL,31,1766,0.003454277151304002,0.001970023669020665,0.002791934355000085,0.0041533299974839365
internvl_2_5_8b,js,HALL,32,1766,0.015252844608448796,0.01070278993738801,0.01474499841705535,0.019055909119222954
internvl_2_5_8b,top1_agreement,REAL,1,9993,0.7238066646652657,0.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,2,9993,0.7665365756029221,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,3,9993,0.9068347843490443,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,4,9993,0.8454918442910037,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,5,9993,0.907335134594216,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,6,9993,0.8887221054738317,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,7,9993,0.8900230161112779,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,8,9993,0.8985289702791954,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,9,9993,0.8874211948363855,1.0,1.0,1.0
internvl_2_5_8b,top1_agreement,REAL,10,9993,0.909536675672971,1.0,1.0,1.0
