method,label,layer,metric,count,mean,std,q10,median,q90
JFFN,REAL,3,top32_mass,5,0.6748197913169861,0.028270251862238218,0.6431347727775574,0.6803258061408997,0.7026884913444519
JFFN,REAL,30,normalized_entropy,5,0.7899335622787476,0.08002728290516077,0.7013734698295593,0.8304949998855591,0.8421690702438355
JFFN,REAL,30,top1_mass,5,0.08576126545667648,0.047975443836169245,0.04809160977602005,0.06126448139548302,0.14258090853691102
JFFN,REAL,30,top32_mass,5,0.5037747204303742,0.1317622211239121,0.4169217646121979,0.4272615313529968,0.6543530225753784
JFFN,REAL,31,normalized_entropy,5,0.7650339841842652,0.11495220645400402,0.6200791716575622,0.8434721231460571,0.8603374719619751
JFFN,REAL,31,top1_mass,5,0.14708505272865297,0.0808481097242723,0.0710021659731865,0.11494651436805725,0.2426032364368439
JFFN,REAL,31,top32_mass,5,0.5440342962741852,0.15735859387045734,0.3948238968849182,0.4706259071826935,0.7399850249290466
JFFN,REAL,32,normalized_entropy,5,0.8744186878204345,0.037988605578204424,0.8296046614646911,0.8847622871398926,0.9099709033966065
JFFN,REAL,32,top1_mass,5,0.05377477928996086,0.01902891279191485,0.03364603444933891,0.049244754016399384,0.07665226310491562
JFFN,REAL,32,top32_mass,5,0.389390766620636,0.07852598536428149,0.3130294978618622,0.37238046526908875,0.48086522817611693
JFFN,REAL,4,normalized_entropy,5,0.728364098072052,0.044217716410631686,0.6775077223777771,0.7379480600357056,0.7769107341766357
JFFN,REAL,4,top1_mass,5,0.16086388677358626,0.037312679512605106,0.11959173828363419,0.15454235672950745,0.20269125699996948
JFFN,REAL,4,top32_mass,5,0.5765486001968384,0.04904040293361496,0.5212324261665344,0.5732204914093018,0.6328297853469849
JFFN,REAL,5,normalized_entropy,5,0.7334915161132812,0.04082712483645533,0.6912975907325745,0.7233926057815552,0.7818499326705932
JFFN,REAL,5,top1_mass,5,0.10495176687836646,0.04443132900369911,0.05214025303721428,0.11940671503543854,0.15160905122756957
JFFN,REAL,5,top32_mass,5,0.607042109966278,0.054155336710084004,0.5431129813194275,0.6298978924751282,0.6508909702301026
JFFN,REAL,6,normalized_entropy,5,0.7639318823814392,0.03312674661535426,0.7276381492614746,0.7757379412651062,0.7872314095497132
JFFN,REAL,6,top1_mass,5,0.07526931837201119,0.044267920882735214,0.040431243181228635,0.05517426133155823,0.12747898697853088
JFFN,REAL,6,top32_mass,5,0.5677034735679627,0.031758243230345325,0.5381839990615844,0.5611381530761719,0.6034693479537964
JFFN,REAL,7,normalized_entropy,5,0.7489669919013977,0.04109080925424185,0.7018219828605652,0.7676002383232117,0.780743932723999
JFFN,REAL,7,top1_mass,5,0.0679837055504322,0.014325637501809874,0.050672123581171034,0.07307549566030502,0.08264046162366867
JFFN,REAL,7,top32_mass,5,0.6031877398490906,0.07571425299978962,0.5316498160362244,0.6003454923629761,0.6798422336578369
JFFN,REAL,8,normalized_entropy,5,0.7668152570724487,0.05610545579435601,0.7019715785980225,0.7788516283035278,0.8211726307868957
JFFN,REAL,8,top1_mass,5,0.0709640271961689,0.03793097886566881,0.039534509927034375,0.05868258327245712,0.1147528350353241
