model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,train,retained_energy,HALL,2,733,733,0,0.9609985631471271,0.9555337189686881,0.9600720053383273,0.9658023016312556
qwen2_5_vl_7b,train,retained_energy,HALL,3,733,733,0,0.9518713885774014,0.9506373728765448,0.9512600504757694,0.951946080543327
qwen2_5_vl_7b,train,retained_energy,HALL,4,733,733,0,0.9520764069603971,0.9506268485991032,0.9512506435866969,0.951984894864996
qwen2_5_vl_7b,train,retained_energy,HALL,5,733,733,0,0.9518773958900507,0.950644410328644,0.9513763134323225,0.9522319025573928
qwen2_5_vl_7b,train,retained_energy,HALL,6,733,733,0,0.9520749382049102,0.950655067973555,0.9512796436880054,0.9521403314423574
qwen2_5_vl_7b,train,retained_energy,HALL,7,733,733,0,0.9516958770325533,0.9507920606436845,0.9515323034398925,0.9522942967327748
qwen2_5_vl_7b,train,retained_energy,HALL,8,733,733,0,0.951254096859692,0.9504950688022348,0.9509777640887684,0.9515906684482707
qwen2_5_vl_7b,train,retained_energy,HALL,9,733,733,0,0.9519329261674245,0.9506128395966678,0.9511762401166644,0.9520403825488433
qwen2_5_vl_7b,train,retained_energy,HALL,10,733,733,0,0.9516146986592193,0.9506125061461573,0.9512928676203738,0.9520573693294812
qwen2_5_vl_7b,train,retained_energy,HALL,11,733,733,0,0.9511956518904706,0.9505370142794757,0.9510340536329963,0.9515893425423688
qwen2_5_vl_7b,train,retained_energy,HALL,12,733,733,0,0.9520759860963836,0.9506073312983384,0.9513342950914686,0.9524364529128428
qwen2_5_vl_7b,train,retained_energy,HALL,13,733,733,0,0.9521400826815597,0.9507595964964365,0.9514900633564279,0.9524458276733484
qwen2_5_vl_7b,train,retained_energy,HALL,14,733,733,0,0.951334100822925,0.9504801697799649,0.9510608540909462,0.9516846643538799
qwen2_5_vl_7b,train,retained_energy,HALL,15,733,733,0,0.9534354242626815,0.9511145027749331,0.9521860633138155,0.9541708473306635
qwen2_5_vl_7b,train,retained_energy,HALL,16,733,733,0,0.9526310644160662,0.950734161169789,0.9516379677683233,0.9531490149308418
qwen2_5_vl_7b,train,retained_energy,HALL,17,733,733,0,0.9545013145615092,0.9513399128279723,0.9528985477299023,0.9552662205444702
qwen2_5_vl_7b,train,retained_energy,HALL,18,733,733,0,0.9527303918268568,0.9509226914702532,0.9517795874946743,0.9532797508478762
qwen2_5_vl_7b,train,retained_energy,HALL,19,733,733,0,0.9538138343405201,0.9511548268062336,0.9524224217062632,0.9545738326823362
qwen2_5_vl_7b,train,retained_energy,HALL,20,733,733,0,0.9543910925451405,0.9513741307254907,0.9530647119274848,0.9554734578360484
qwen2_5_vl_7b,train,retained_energy,HALL,21,733,733,0,0.9547057184482824,0.9513979823345751,0.9532376504807305,0.9560456347524745
qwen2_5_vl_7b,train,retained_energy,HALL,22,733,733,0,0.9541109647132651,0.9514008362087057,0.9529347987363281,0.955306914615506
qwen2_5_vl_7b,train,retained_energy,HALL,23,733,733,0,0.9542973911518979,0.9512721237268698,0.9529137088957442,0.9553556528079528
qwen2_5_vl_7b,train,retained_energy,HALL,24,733,733,0,0.9539707074093192,0.9512318929429248,0.9526368674797514,0.9547839347298366
qwen2_5_vl_7b,train,retained_energy,HALL,25,733,733,0,0.955199529477334,0.9517796721008913,0.9533432776358334,0.9563171002149513
qwen2_5_vl_7b,train,retained_energy,HALL,26,733,733,0,0.9538316905897501,0.9512764535222894,0.9523905032751631,0.9545432626188557
qwen2_5_vl_7b,train,retained_energy,HALL,27,733,733,0,0.9530337187371485,0.9510040633946308,0.9522778623150263,0.9538495472329447
qwen2_5_vl_7b,train,retained_energy,HALL,28,733,733,0,0.9529015593052339,0.9509777858496279,0.952005998431578,0.9535443931192212
qwen2_5_vl_7b,validation,ovir,REAL,1,786,786,0,0.9738445351548947,0.9680111165565719,0.9770999943504859,0.9839561378974011
qwen2_5_vl_7b,validation,ovir,REAL,2,786,786,0,0.9738815830453318,0.9691417817675259,0.9760297774200594,0.9821280933142934
qwen2_5_vl_7b,validation,ovir,REAL,3,786,786,0,0.9296413077566628,0.9125155612516046,0.9282389640287537,0.9448178331122016
qwen2_5_vl_7b,validation,ovir,REAL,4,786,786,0,0.9134902648592487,0.8891662081258227,0.9074164051319382,0.932782160947534
qwen2_5_vl_7b,validation,ovir,REAL,5,786,786,0,0.8908451022730062,0.8702538098785275,0.8856569195434791,0.908781325524848
qwen2_5_vl_7b,validation,ovir,REAL,6,786,786,0,0.8495193721799384,0.8170922057041548,0.8447436695452148,0.8784208958383625
qwen2_5_vl_7b,validation,ovir,REAL,7,786,786,0,0.8174330244868928,0.7822931409957936,0.8112349114249622,0.8522322624491016
qwen2_5_vl_7b,validation,ovir,REAL,8,786,786,0,0.7223026941203835,0.6767766572880914,0.7112319429957648,0.7569953356063366
qwen2_5_vl_7b,validation,ovir,REAL,9,786,786,0,0.8396446047254665,0.7999432727614979,0.8343067569432447,0.8742175800793611
qwen2_5_vl_7b,validation,ovir,REAL,10,786,786,0,0.6225019882465813,0.558827799230172,0.6048222661042775,0.6798336681253605
qwen2_5_vl_7b,validation,ovir,REAL,11,786,786,0,0.7231379273049502,0.6790753446084308,0.7144216218150067,0.7599311971434076
qwen2_5_vl_7b,validation,ovir,REAL,12,786,786,0,0.7896943341116796,0.7607052647506765,0.7841934477034336,0.8148495821002285
qwen2_5_vl_7b,validation,ovir,REAL,13,786,786,0,0.7902321246952075,0.7528986619737881,0.788283321979137,0.8233569156692975
qwen2_5_vl_7b,validation,ovir,REAL,14,786,786,0,0.6873572139341838,0.6584690301086702,0.6875788567690369,0.7149701736000729
qwen2_5_vl_7b,validation,ovir,REAL,15,786,786,0,0.8377314930679732,0.810284746399917,0.8336225070916232,0.8642928879744284
qwen2_5_vl_7b,validation,ovir,REAL,16,786,786,0,0.8426367074853133,0.8133317396179053,0.8361833971851068,0.8694372538193589
qwen2_5_vl_7b,validation,ovir,REAL,17,786,786,0,0.860249605584651,0.8425255305522241,0.8594961538363288,0.8790026891868102
qwen2_5_vl_7b,validation,ovir,REAL,18,786,786,0,0.8614442217197893,0.839747806625234,0.8614171072792354,0.880590850806881
qwen2_5_vl_7b,validation,ovir,REAL,19,786,786,0,0.8977957380660645,0.8822880338485458,0.8979744849740936,0.9125956109693898
qwen2_5_vl_7b,validation,ovir,REAL,20,786,786,0,0.9437284493995064,0.9343593221996903,0.946513439312126,0.954825378964868
qwen2_5_vl_7b,validation,ovir,REAL,21,786,786,0,0.9587098380128993,0.9514385977176107,0.9601375132112155,0.9670451231775187
qwen2_5_vl_7b,validation,ovir,REAL,22,786,786,0,0.9740929748500565,0.9695564797663969,0.9745757755194175,0.9800323626205869
qwen2_5_vl_7b,validation,ovir,REAL,23,786,786,0,0.9830269111146552,0.9782421353572411,0.9842454067599642,0.9880775062296391
qwen2_5_vl_7b,validation,ovir,REAL,24,786,786,0,0.984478807753514,0.9805621267868765,0.9846424732999336,0.9890326087264234
qwen2_5_vl_7b,validation,ovir,REAL,25,786,786,0,0.9869574050487792,0.9835884005519786,0.9881218826036274,0.9913795507164644
qwen2_5_vl_7b,validation,ovir,REAL,26,786,786,0,0.9864016260802193,0.9820273679922289,0.988781604768235,0.9926665506058172
qwen2_5_vl_7b,validation,ovir,REAL,27,786,786,0,0.9749995053865479,0.9691022442701346,0.976463668358909,0.9833297433200106
qwen2_5_vl_7b,validation,ovir,REAL,28,786,786,0,0.9059810469491477,0.8687869764566079,0.9235085323558565,0.9622348302255581
qwen2_5_vl_7b,validation,ovir,HALL,1,98,98,0,0.976969610746418,0.9722250025440842,0.9796771956396778,0.9857951238540132
qwen2_5_vl_7b,validation,ovir,HALL,2,98,98,0,0.9767327877553432,0.9736255471480594,0.9776128575432759,0.9838473761283117
