model,group,classifier,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
llava_1_5_7b,attention_visual,searched_one_hidden,45,train_f1,0.48505711555480957,0.8907452282714822,0.6844990460822551,0.6780185758513931,0.6177715091678421,0.6464944649446495
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,43,fixed_0.5,0.5,0.900486331723031,0.7094113323739971,0.6848,0.6036671368124118,0.6416791604197901
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,43,train_f1,0.4954434037208557,0.900486331723031,0.7094113323739971,0.690671031096563,0.5952045133991537,0.6393939393939394
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,44,fixed_0.5,0.5,0.893507069259587,0.6837274898509587,0.5809217577706324,0.764456981664316,0.6601705237515225
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,44,train_f1,0.40924790501594543,0.893507069259587,0.6837274898509587,0.6567607726597325,0.6234132581100141,0.6396526772793053
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,45,fixed_0.5,0.5,0.8975971636147706,0.6960752063434618,0.6217870257037944,0.7165021156558533,0.6657929226736566
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,45,train_f1,0.35529881715774536,0.8975971636147706,0.6960752063434618,0.7042735042735043,0.5811001410437235,0.6367851622874807
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,43,fixed_0.5,0.5,0.8820409727097467,0.6925449679485448,0.7161410018552876,0.5444287729196051,0.6185897435897436
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,43,train_f1,0.44134521484375,0.8820409727097467,0.6925449679485448,0.743421052631579,0.4781382228490832,0.5819742489270386
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,44,fixed_0.5,0.5,0.8762892594365311,0.6810246937851834,0.7126654064272212,0.5317348377997179,0.6090468497576736
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,44,train_f1,0.4539277255535126,0.8762892594365311,0.6810246937851834,0.7393258426966293,0.46403385049365303,0.5701906412478336
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,45,fixed_0.5,0.5,0.8761460164263559,0.6817041334977443,0.7481296758104738,0.4231311706629055,0.5405405405405406
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,45,train_f1,0.5399010181427002,0.8761460164263559,0.6817041334977443,0.7276507276507277,0.4936530324400564,0.5882352941176471
llava_1_5_7b,attention_generation,fixed_three_hidden,43,fixed_0.5,0.5,0.8888081197662043,0.6600072150867328,0.6013590033975085,0.7489421720733427,0.6670854271356784
llava_1_5_7b,attention_generation,fixed_three_hidden,43,train_f1,0.4126846492290497,0.8888081197662043,0.6600072150867328,0.6551226551226551,0.6403385049365303,0.6476462196861626
llava_1_5_7b,attention_generation,fixed_three_hidden,44,fixed_0.5,0.5,0.8866215658573484,0.6593388630222691,0.6166253101736973,0.7009873060648801,0.6561056105610561
llava_1_5_7b,attention_generation,fixed_three_hidden,44,train_f1,0.40777072310447693,0.8866215658573484,0.6593388630222691,0.6716917922948074,0.5655853314527504,0.6140888208269525
llava_1_5_7b,attention_generation,fixed_three_hidden,45,fixed_0.5,0.5,0.8902584914167053,0.6685932501116126,0.6750788643533123,0.6036671368124118,0.637379002233805
llava_1_5_7b,attention_generation,fixed_three_hidden,45,train_f1,0.5191344022750854,0.8902584914167053,0.6685932501116126,0.6656716417910448,0.6290550070521862,0.6468455402465555
llava_1_5_7b,attention_generation,searched_one_hidden,43,fixed_0.5,0.5,0.871703457452196,0.6461477924179686,0.611185086551265,0.6473906911142454,0.6287671232876713
llava_1_5_7b,attention_generation,searched_one_hidden,43,train_f1,0.36866897344589233,0.871703457452196,0.6461477924179686,0.6809421841541756,0.44851904090267986,0.5408163265306123
llava_1_5_7b,attention_generation,searched_one_hidden,44,fixed_0.5,0.5,0.8771455343195783,0.6632168284697415,0.6477093206951027,0.5782792665726375,0.6110283159463488
llava_1_5_7b,attention_generation,searched_one_hidden,44,train_f1,0.410973459482193,0.8771455343195783,0.6632168284697415,0.6995614035087719,0.44992947813822287,0.5476394849785408
llava_1_5_7b,attention_generation,searched_one_hidden,45,fixed_0.5,0.5,0.8785189309383488,0.65600348400133,0.6024844720496895,0.6840620592383639,0.6406869220607662
llava_1_5_7b,attention_generation,searched_one_hidden,45,train_f1,0.32387953996658325,0.8785189309383488,0.65600348400133,0.6846846846846847,0.4287729196050776,0.5273200346921075
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,43,fixed_0.5,0.5,0.8945815365258101,0.6818027814313445,0.6661764705882353,0.6389280677009873,0.652267818574514
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,43,train_f1,0.4899226725101471,0.8945815365258101,0.6818027814313445,0.6727272727272727,0.6262341325811002,0.6486486486486487
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,44,fixed_0.5,0.5,0.9052642819068741,0.7185266484515646,0.6785714285714286,0.6967559943582511,0.6875434933890049
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,44,train_f1,0.44118332862854004,0.9052642819068741,0.7185266484515646,0.699537750385208,0.6403385049365303,0.6686303387334315
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,45,fixed_0.5,0.5,0.9007953893692272,0.701672488391384,0.6109865470852018,0.768688293370945,0.6808244846970644
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,45,train_f1,0.3800012469291687,0.9007953893692272,0.701672488391384,0.6666666666666666,0.6375176304654443,0.6517664023071377
llava_1_5_7b,attention_vp_generation,searched_one_hidden,43,fixed_0.5,0.5,0.8961803600232199,0.7028947191672849,0.713472485768501,0.5303244005641748,0.6084142394822006
llava_1_5_7b,attention_vp_generation,searched_one_hidden,43,train_f1,0.5101475119590759,0.8961803600232199,0.7028947191672849,0.7074954296160878,0.5458392101551481,0.6162420382165605
llava_1_5_7b,attention_vp_generation,searched_one_hidden,44,fixed_0.5,0.5,0.8969472165423394,0.7077253918931438,0.8152173913043478,0.31734837799717913,0.45685279187817257
llava_1_5_7b,attention_vp_generation,searched_one_hidden,44,train_f1,0.5951571464538574,0.8969472165423394,0.7077253918931438,0.7461368653421634,0.4767277856135402,0.5817555938037866
llava_1_5_7b,attention_vp_generation,searched_one_hidden,45,fixed_0.5,0.5,0.889851623391844,0.7021740717562095,0.77088948787062,0.4033850493653032,0.5296296296296297
llava_1_5_7b,attention_vp_generation,searched_one_hidden,45,train_f1,0.5541564226150513,0.889851623391844,0.7021740717562095,0.7293868921775899,0.48660084626234135,0.583756345177665
llava_1_5_7b,gated_visual,fixed_three_hidden,43,fixed_0.5,0.5,0.8938427498490884,0.6857056851796274,0.6451169188445667,0.6614950634696756,0.6532033426183844
llava_1_5_7b,gated_visual,fixed_three_hidden,43,train_f1,0.518242597579956,0.8938427498490884,0.6857056851796274,0.6339869281045751,0.6840620592383639,0.6580732700135685
llava_1_5_7b,gated_visual,fixed_three_hidden,44,fixed_0.5,0.5,0.896336046365592,0.6888233864561816,0.6210268948655256,0.7165021156558533,0.6653569089718402
llava_1_5_7b,gated_visual,fixed_three_hidden,44,train_f1,0.44291171431541443,0.896336046365592,0.6888233864561816,0.6686746987951807,0.6262341325811002,0.6467589220684632
llava_1_5_7b,gated_visual,fixed_three_hidden,45,fixed_0.5,0.5,0.8948506597570483,0.6903191563438386,0.6080097087378641,0.7066290550070522,0.6536203522504892
llava_1_5_7b,gated_visual,fixed_three_hidden,45,train_f1,0.4269111752510071,0.8948506597570483,0.6903191563438386,0.6656534954407295,0.6177715091678421,0.6408193123628383
llava_1_5_7b,gated_visual,searched_one_hidden,43,fixed_0.5,0.5,0.885620890444852,0.6546171855735242,0.6885553470919324,0.5176304654442877,0.5909822866344605
llava_1_5_7b,gated_visual,searched_one_hidden,43,train_f1,0.5106672644615173,0.885620890444852,0.6546171855735242,0.6854545454545454,0.5317348377997179,0.5988880063542494
llava_1_5_7b,gated_visual,searched_one_hidden,44,fixed_0.5,0.5,0.8880059589092233,0.6568733831915883,0.6265060240963856,0.6600846262341326,0.6428571428571429
llava_1_5_7b,gated_visual,searched_one_hidden,44,train_f1,0.4282379746437073,0.8880059589092233,0.6568733831915883,0.6488673139158576,0.5655853314527504,0.6043707611152976
llava_1_5_7b,gated_visual,searched_one_hidden,45,fixed_0.5,0.5,0.8912070784618653,0.6781005195384738,0.6329787234042553,0.6713681241184767,0.6516084873374401
llava_1_5_7b,gated_visual,searched_one_hidden,45,train_f1,0.40026193857192993,0.8912070784618653,0.6781005195384738,0.6885521885521886,0.5768688293370945,0.6277820414428242
