model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen3_vl_8b,r_amp,HALL,24,2593,0.04368834587985912,0.03310572620898246,0.04166087695130686,0.05118855814050937
qwen3_vl_8b,r_amp,HALL,25,2593,0.07100256867075,0.05556161626954208,0.06809165963322696,0.08321694213585176
qwen3_vl_8b,r_amp,HALL,26,2593,0.029041755912986043,0.020908976698418305,0.026463519949892163,0.03371144742394567
qwen3_vl_8b,r_amp,HALL,27,2593,0.03824492072501746,0.026314837835397654,0.034043827044978194,0.04532366623698338
qwen3_vl_8b,r_amp,HALL,28,2593,0.06104047327063721,0.0485143922843182,0.05962662401085195,0.07204195696098592
qwen3_vl_8b,r_amp,HALL,29,2593,0.04474747568312717,0.0335347975340454,0.04192627520231712,0.05187021103832436
qwen3_vl_8b,r_amp,HALL,30,2593,0.09098096482109534,0.06336776412513132,0.08517951438500394,0.11348904294722395
qwen3_vl_8b,r_amp,HALL,31,2593,0.058070857198712536,0.037369835126229885,0.05047553965893527,0.06846460531241444
qwen3_vl_8b,r_amp,HALL,32,2593,0.03136414126207559,0.018426951170330108,0.025154949801812588,0.03641949725782098
qwen3_vl_8b,r_amp,HALL,33,2593,0.027217143887567328,0.01708691468782728,0.023235281323214146,0.03322280854105749
qwen3_vl_8b,r_amp,HALL,34,2593,0.025965562313930296,0.013339385663068137,0.0179027028984951,0.029371783044890038
qwen3_vl_8b,r_amp,HALL,35,2593,0.06780888185505146,0.03735983169621029,0.05557458264813124,0.08835600100022308
qwen3_vl_8b,r_amp,HALL,36,2593,0.3950970076369966,0.35880713619498317,0.40075099261667835,0.4396208652548352
qwen3_vl_8b,s_write,REAL,1,12280,0.2909988053647038,0.16075691017408644,0.26392545393900946,0.4061458617397875
qwen3_vl_8b,s_write,REAL,2,12280,0.314046213070189,0.12763744183030212,0.22803367877895653,0.4152583407826569
qwen3_vl_8b,s_write,REAL,3,12280,1.1454804212486052,0.5481376949737751,0.8569753749434312,1.4210155507244053
qwen3_vl_8b,s_write,REAL,4,12280,1.037372374622245,0.3740138574494267,0.7435521438274009,1.4029097322277266
qwen3_vl_8b,s_write,REAL,5,12280,0.9260993977060907,0.3546201923982153,0.6883812951582513,1.1941748353347066
qwen3_vl_8b,s_write,REAL,6,12280,1.7027480090703278,0.778672089810243,1.32013103319332,2.223955520486925
qwen3_vl_8b,s_write,REAL,7,12280,2.422474482480256,0.7989721875574105,1.9100312856007804,3.776060408954436
qwen3_vl_8b,s_write,REAL,8,12280,1.617747385780809,0.8869428342027277,1.4307821132838399,2.21374046136134
qwen3_vl_8b,s_write,REAL,9,12280,7.311852172804713,4.6951418849657784,6.893397302843368,9.857499604160694
qwen3_vl_8b,s_write,REAL,10,12280,9.729505624701973,5.8367203147026885,9.666160838041833,12.919873524853756
qwen3_vl_8b,s_write,REAL,11,12280,7.754833933644024,5.567899283858424,7.6686636707236175,9.797165542040602
qwen3_vl_8b,s_write,REAL,12,12280,8.688313654265515,5.916859176617436,8.272675338914269,11.279170165900723
qwen3_vl_8b,s_write,REAL,13,12280,8.258104198204176,5.910013221509871,7.73162055083958,10.233652336872183
qwen3_vl_8b,s_write,REAL,14,12280,15.342389895923084,11.763339262412046,14.666254823852796,18.87092033497902
qwen3_vl_8b,s_write,REAL,15,12280,13.24639472349916,10.681294826874364,13.525508912152873,16.03050735524448
qwen3_vl_8b,s_write,REAL,16,12280,17.72595173169911,14.31973730019672,17.801616217708215,21.33452187103103
qwen3_vl_8b,s_write,REAL,17,12280,15.329180590012168,11.609874188965478,14.88214096835145,18.814766646901262
qwen3_vl_8b,s_write,REAL,18,12280,18.164774684651597,15.309270327601553,18.45135656069033,21.36832932653124
qwen3_vl_8b,s_write,REAL,19,12280,25.8188971711746,22.54097322098096,26.136004633066477,29.69768619923707
qwen3_vl_8b,s_write,REAL,20,12280,19.70735447719383,15.277915810969716,19.220356540987268,24.019677007687278
qwen3_vl_8b,s_write,REAL,21,12280,24.383159260522014,20.08483630430419,24.85981003222696,29.340418008543566
qwen3_vl_8b,s_write,REAL,22,12280,28.012955282423157,23.1312065274833,28.47346183648915,33.462028905254556
qwen3_vl_8b,s_write,REAL,23,12280,15.547548339054691,12.167652414616896,15.42510475688323,18.731990610074718
qwen3_vl_8b,s_write,REAL,24,12280,42.29276726575928,35.097526342462515,43.40586053029983,50.731593442498706
qwen3_vl_8b,s_write,REAL,25,12280,61.22864338636029,50.526964766249876,62.85247657944274,73.58193486541313
qwen3_vl_8b,s_write,REAL,26,12280,31.226543426080074,22.002535474421165,30.56700589894899,40.10914192709242
qwen3_vl_8b,s_write,REAL,27,12280,60.591235938458745,46.65787050720246,61.093629329960095,74.7429834377399
qwen3_vl_8b,s_write,REAL,28,12280,42.51099477587945,29.722075084886455,41.30872009453742,54.484417589563236
qwen3_vl_8b,s_write,REAL,29,12280,53.28825156119202,36.76993933668564,51.327783876797184,68.03637865462224
qwen3_vl_8b,s_write,REAL,30,12280,76.96044591865332,53.87382044660626,73.36473074853711,97.58603505342035
qwen3_vl_8b,s_write,REAL,31,12280,48.3104961423209,30.609950163094254,45.03271768419654,62.45827778882904
qwen3_vl_8b,s_write,REAL,32,12280,76.03955443946943,51.00477252585188,72.65244625322521,98.57663922071879
qwen3_vl_8b,s_write,REAL,33,12280,73.24324939721039,46.23062296174976,69.48048328136065,97.4586512327005
qwen3_vl_8b,s_write,REAL,34,12280,107.27961836450146,70.84614204066747,100.73507785504626,137.4925932487895
qwen3_vl_8b,s_write,REAL,35,12280,123.92252323290083,81.14657984923178,114.65093628482282,158.82361617944844
qwen3_vl_8b,s_write,REAL,36,12280,51.42998149134316,30.13960000104271,43.96660696412437,64.7933453124133
qwen3_vl_8b,s_write,HALL,1,2593,0.20438156827861315,0.11739446299907286,0.17419690353199258,0.26424944075733947
qwen3_vl_8b,s_write,HALL,2,2593,0.1831632590013602,0.09475869163998141,0.13813909483860698,0.21156279483329854
qwen3_vl_8b,s_write,HALL,3,2593,0.7338877276325673,0.3832594353298191,0.5583705709141213,0.8915503633179469
qwen3_vl_8b,s_write,HALL,4,2593,0.7006373710022581,0.2880845074178069,0.45139989598465036,0.8216034935285279
qwen3_vl_8b,s_write,HALL,5,2593,0.5362868637191706,0.19235685826060944,0.3636598278390011,0.6877322340442333
qwen3_vl_8b,s_write,HALL,6,2593,0.9547991773711918,0.47050225967541337,0.7139124445602647,1.1488716768508311
qwen3_vl_8b,s_write,HALL,7,2593,1.28494228641407,0.40078692995302845,0.8747392083459999,1.8252229891295428
qwen3_vl_8b,s_write,HALL,8,2593,1.0432089312109976,0.5644097844742646,0.8886947189384955,1.325619355404342
qwen3_vl_8b,s_write,HALL,9,2593,5.4283221142462015,3.4096533899282804,5.155114262015559,7.073194188706111
qwen3_vl_8b,s_write,HALL,10,2593,7.578471163719041,4.577812828705646,6.950302344135707,9.936562759921799
qwen3_vl_8b,s_write,HALL,11,2593,6.061233140186242,3.853124325745739,5.851155248703435,7.860394758696202
qwen3_vl_8b,s_write,HALL,12,2593,6.8566324785402655,4.781846923171543,6.5018202834471595,8.489940092258621
qwen3_vl_8b,s_write,HALL,13,2593,5.835747325314663,4.233651871123584,5.460606501728762,7.051743271353189
qwen3_vl_8b,s_write,HALL,14,2593,13.69839243733763,9.749576499860268,13.248511328944005,17.280107288621366
qwen3_vl_8b,s_write,HALL,15,2593,10.561695504740284,7.875608600443229,10.490292655216763,13.269372171955183
qwen3_vl_8b,s_write,HALL,16,2593,16.368014974136543,12.5514328199788,16.348642355813354,20.455465427745366
qwen3_vl_8b,s_write,HALL,17,2593,11.648466242980488,8.377226251759566,11.292923996370519,14.323551030887756
