model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_8_region,1.0,1.756561279296875
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_8_region,1.25,1.873391032218933
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,deterministic_random_region,0.0,1.622918963432312
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,deterministic_random_region,0.25,1.655759572982788
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,deterministic_random_region,0.5,1.6889925003051758
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,deterministic_random_region,0.75,1.7225985527038574
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,deterministic_random_region,1.0,1.756561279296875
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,deterministic_random_region,1.25,1.7908647060394287
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_p_ffn_token,0.0,25.515993118286133
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_p_ffn_token,0.25,26.25279426574707
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_p_ffn_token,0.5,26.990148544311523
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_p_ffn_token,0.75,27.7280330657959
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_p_ffn_token,1.0,28.46638298034668
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_p_ffn_token,1.25,29.20507049560547
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_8_region,0.0,18.54822540283203
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_8_region,0.25,21.026823043823242
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_8_region,0.5,23.506879806518555
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_8_region,0.75,25.98703956604004
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_8_region,1.0,28.46638298034668
