model,group,seed,threshold_rule,threshold,auc,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
llava_1_5_7b,full/schedule_on/val_epoch_transfer,43,fixed_0.5,0.5,0.8964176514744192,0.9682534096075929,0.8863275039745628,0.9150594993844892,0.9004643650312941,0.6904123040656208,0.6714285714285714,0.5966149506346967,0.6318147871545929
llava_1_5_7b,full/schedule_on/val_epoch_transfer,43,train_f1,0.532861053943634,0.8964176514744192,0.9682534096075929,0.8955954323001631,0.9011079195732458,0.8983432194722847,0.6904123040656208,0.6527377521613833,0.6389280677009873,0.6457590876692801
llava_1_5_7b,full/schedule_on/val_epoch_transfer,44,fixed_0.5,0.5,0.9000331629272041,0.9686186696627379,0.8928860145513339,0.906442347148133,0.8996131134188556,0.7030269905030616,0.6607142857142857,0.6262341325811002,0.6430123099203475
llava_1_5_7b,full/schedule_on/val_epoch_transfer,44,train_f1,0.48730042576789856,0.9000331629272041,0.9686186696627379,0.8896911351784998,0.9101354123922856,0.8997971602434077,0.7030269905030616,0.664624808575804,0.61212976022567,0.6372980910425844
llava_1_5_7b,full/schedule_on/val_epoch_transfer,45,fixed_0.5,0.5,0.9004863317230312,0.9690040058292575,0.9129332206255283,0.8863356585966352,0.8994378513429107,0.7003764843106068,0.6448717948717949,0.7094499294781382,0.6756212222968435
llava_1_5_7b,full/schedule_on/val_epoch_transfer,45,train_f1,0.41249072551727295,0.9004863317230312,0.9690040058292575,0.886408927859705,0.9125974558883874,0.8993125758188435,0.7003764843106068,0.6656200941915228,0.5980253878702397,0.6300148588410104
llava_1_5_7b,full/schedule_on/val_epoch_transfer,ensemble,fixed_0.5,0.5,0.904047150390113,0.9704388951444802,0.8984088127294981,0.9035699630693476,0.9009819967266776,0.7120976514853289,0.6618705035971223,0.6488011283497884,0.6552706552706553
llava_1_5_7b,full/schedule_on/val_epoch_transfer,ensemble,train_f1,0.48491427302360535,0.904047150390113,0.9704388951444802,0.8945880452342488,0.9089043906442347,0.9016893954813759,0.7120976514853289,0.6686567164179105,0.6318758815232722,0.649746192893401
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,43,fixed_0.5,0.5,0.8458411661664335,0.9669058401464588,0.8947368421052632,0.9397410358565738,0.9166869079426767,0.49289254392482706,0.5551470588235294,0.40482573726541554,0.4682170542635659
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,43,train_f1,0.5555262565612793,0.8458411661664335,0.9669058401464588,0.9025341130604289,0.9223107569721115,0.9123152709359605,0.49289254392482706,0.5258358662613982,0.46380697050938335,0.4928774928774929
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,44,fixed_0.5,0.5,0.8423043749933243,0.9650033764326266,0.8851162790697674,0.9477091633466136,0.9153439153439153,0.4933945982875366,0.5454545454545454,0.3378016085790885,0.41721854304635764
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,44,train_f1,0.6090596318244934,0.8423043749933243,0.9650033764326266,0.9087340529931305,0.9223107569721115,0.9154720711814137,0.4933945982875366,0.5451895043731778,0.5013404825737265,0.5223463687150838
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,45,fixed_0.5,0.5,0.8518586511861401,0.9674168637453907,0.8963210702341137,0.9342629482071713,0.9148988051694709,0.49603382807486873,0.5416666666666666,0.41823056300268097,0.4720121028744327
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,45,train_f1,0.5085581541061401,0.8518586511861401,0.9674168637453907,0.8978906999041227,0.9327689243027888,0.9149975574010747,0.49603382807486873,0.5423728813559322,0.4289544235924933,0.47904191616766467
internvl_2_5_8b,full/schedule_on/val_epoch_transfer,ensemble,fixed_0.5,0.5,0.8562532710979139,0.9688459694878035,0.8921568627450981,0.9516932270916335,0.9209638554216868,0.518676864445467,0.5941422594142259,0.3806970509383378,0.46405228758169936
