model,group,classifier,index,validation_AUROC,validation_HALL_AUPR,seconds,n_iter,convergence_warning,params
qwen2_5_vl_7b,vp_generation,one_hidden,11,0.8048612665942192,0.30791465613539776,3.6497345918323845,189,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,vp_generation,xgb,0,0.8386476701197569,0.4657052881449612,0.9962766179814935,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}"
qwen2_5_vl_7b,vp_generation,xgb,1,0.8421590096165923,0.4474975589735148,1.482235801871866,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}"
qwen2_5_vl_7b,vp_generation,xgb,2,0.8517319149633302,0.4614497978387911,3.509309057146311,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 500}"
qwen2_5_vl_7b,vp_generation,xgb,3,0.8462765056984181,0.4699985444541641,1.7869914770126343,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
qwen2_5_vl_7b,vp_generation,xgb,4,0.8481332015443341,0.4659791698268365,3.4357535808812827,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
qwen2_5_vl_7b,vp_generation,xgb,5,0.8523107671976452,0.4727159700039333,5.63864408293739,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
qwen2_5_vl_7b,vp_generation,xgb,6,0.8491434625193178,0.4691176162362416,3.0031442099716514,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,vp_generation,xgb,7,0.852684836801896,0.4739970666932179,4.923991780960932,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,vp_generation,xgb,8,0.8571709416178375,0.47955421686963196,7.0560762288514525,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 500}"
qwen2_5_vl_7b,vp_generation,xgb,9,0.821232955259091,0.4309330895689843,0.8661411229986697,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}"
qwen2_5_vl_7b,vp_generation,xgb,10,0.8312154258659575,0.46110172822772116,1.5647813249379396,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}"
qwen2_5_vl_7b,vp_generation,xgb,11,0.8427324009807723,0.4685790479425151,3.721483673900366,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500}"
qwen2_5_vl_7b,vp_generation,xgb,12,0.8314447824116294,0.4573115246453785,1.8996155289933085,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 100}"
qwen2_5_vl_7b,vp_generation,xgb,13,0.842251844408888,0.468040903620694,3.412723358022049,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200}"
qwen2_5_vl_7b,vp_generation,xgb,14,0.851824749755626,0.4663652114244985,6.978325070114806,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 500}"
qwen2_5_vl_7b,vp_generation,xgb,15,0.8340714609465874,0.4370475436080199,3.2892863070592284,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,vp_generation,xgb,16,0.8440129750274409,0.45664379574637637,5.3806697758845985,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,vp_generation,xgb,17,0.8533592542635744,0.48181028906578366,9.77947714109905,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
qwen2_5_vl_7b,ae_only_visual,one_hidden,0,0.6567624685317358,0.21362321090908604,0.3170206418726593,41,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,ae_only_visual,one_hidden,1,0.676514435810202,0.2520167496046855,1.2290176930837333,189,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,ae_only_visual,one_hidden,2,0.6954909595294914,0.2771150013194888,8.496192155173048,287,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,ae_only_visual,one_hidden,3,0.5471027353498507,0.11997390714954925,0.1163689240347594,17,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,ae_only_visual,one_hidden,4,0.6864204542351777,0.2657956380098658,3.050061205169186,126,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
