model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_p_ffn_token,0.5,75.31810760498047
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_p_ffn_token,0.75,76.17806243896484
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_p_ffn_token,1.0,77.19197082519531
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_p_ffn_token,1.25,78.35386657714844
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_8_region,0.0,62.46076202392578
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_8_region,0.25,65.86022186279297
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_8_region,0.5,69.46692657470703
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_8_region,0.75,73.25292205810547
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_8_region,1.0,77.19197082519531
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_8_region,1.25,81.25727844238281
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,deterministic_random_region,0.0,68.45662689208984
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,deterministic_random_region,0.25,70.62068176269531
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,deterministic_random_region,0.5,72.79969024658203
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,deterministic_random_region,0.75,74.9908218383789
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,deterministic_random_region,1.0,77.19197082519531
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,deterministic_random_region,1.25,79.40119934082031
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_p_ffn_token,0.0,5.135529518127441
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_p_ffn_token,0.25,5.183216094970703
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_p_ffn_token,0.5,5.232640743255615
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_p_ffn_token,0.75,5.283763885498047
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_p_ffn_token,1.0,5.336550235748291
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_p_ffn_token,1.25,5.390958309173584
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_8_region,0.0,3.6668291091918945
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_8_region,0.25,4.071446418762207
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_8_region,0.5,4.486164093017578
