model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,visual,0,23,916,19.575396415968648,19.816237449645996,13.876043796539307,24.256330490112305
qwen2_5_vl_7b,raw,visual,0,24,916,19.31368239777057,18.94594669342041,12.16356348991394,25.7098650932312
qwen2_5_vl_7b,raw,visual,0,25,916,12.936437991118327,12.002790927886963,7.796656608581543,17.54526424407959
qwen2_5_vl_7b,raw,visual,0,26,916,12.132417397012357,10.755934715270996,6.408934593200684,16.460620880126953
qwen2_5_vl_7b,raw,visual,0,27,916,28.2633555102036,26.978288650512695,17.58474349975586,37.626654624938965
qwen2_5_vl_7b,raw,visual,0,28,916,53.46883195508516,51.371585845947266,32.58113193511963,71.79787063598633
qwen2_5_vl_7b,raw,visual,1,1,7801,0.9563882250170221,0.8806040287017822,0.5618938207626343,1.22306489944458
qwen2_5_vl_7b,raw,visual,1,2,7801,2.8055052027199885,2.6845548152923584,1.9632961750030518,3.4435975551605225
qwen2_5_vl_7b,raw,visual,1,3,7801,1.618018183096481,1.2970525026321411,0.898978590965271,1.804644227027893
qwen2_5_vl_7b,raw,visual,1,4,7801,3.663474468027471,2.8511600494384766,1.771303415298462,5.188827991485596
qwen2_5_vl_7b,raw,visual,1,5,7801,4.1707446646604796,3.6544833183288574,2.0650620460510254,5.407462120056152
qwen2_5_vl_7b,raw,visual,1,6,7801,8.662592525895384,7.639651775360107,5.2247209548950195,11.149354934692383
qwen2_5_vl_7b,raw,visual,1,7,7801,2.306852740150983,2.009064197540283,1.223344087600708,3.2704615592956543
qwen2_5_vl_7b,raw,visual,1,8,7801,3.3227706487446835,3.4398910999298096,1.8360254764556885,4.446929931640625
qwen2_5_vl_7b,raw,visual,1,9,7801,6.533596427425209,6.020101070404053,3.9879908561706543,8.335845947265625
qwen2_5_vl_7b,raw,visual,1,10,7801,17.921530503597708,18.023479461669922,13.89185905456543,22.32976531982422
qwen2_5_vl_7b,raw,visual,1,11,7801,3.990143216499807,3.994682550430298,3.0446853637695312,4.934121608734131
qwen2_5_vl_7b,raw,visual,1,12,7801,5.836816023346125,5.647671699523926,4.458245277404785,7.167506217956543
qwen2_5_vl_7b,raw,visual,1,13,7801,6.931720282241115,7.0327043533325195,5.648109436035156,8.235065460205078
qwen2_5_vl_7b,raw,visual,1,14,7801,7.815931597358523,7.804450988769531,5.907018661499023,9.713732719421387
qwen2_5_vl_7b,raw,visual,1,15,7801,12.105685967128256,11.447614669799805,9.304967880249023,14.43996524810791
qwen2_5_vl_7b,raw,visual,1,16,7801,5.615645161936977,4.882211685180664,3.8989808559417725,6.834100246429443
