model,scope,label,layer,valid,undefined,mean,q25,median,q75
llava_1_5_7b,test,REAL,10,1228,0,0.35135913529373636,0.13356402246075313,0.29049019457208886,0.5337271242545774
llava_1_5_7b,test,REAL,11,1228,0,0.4896883530743826,0.19099594179521195,0.38807703820722445,0.7234407297025124
llava_1_5_7b,test,REAL,12,1228,0,0.35765161955735303,0.16489649234452836,0.30053888095010606,0.5316286483779549
llava_1_5_7b,test,REAL,13,1228,0,0.3804057934417529,0.16947547357135806,0.3277727328758273,0.5457015256990086
llava_1_5_7b,test,REAL,14,1228,0,0.3858664450743683,0.1655716328833256,0.3227218948145453,0.5920031195772546
llava_1_5_7b,test,REAL,15,1228,0,0.46550322464465915,0.184973741456788,0.36765274715299406,0.6828930527903139
llava_1_5_7b,test,REAL,16,1228,0,0.5972917542098937,0.22582568855137874,0.46176955429171873,0.8885391647927463
llava_1_5_7b,test,REAL,17,1228,0,0.5765225932558665,0.20962097364058102,0.4439488348694375,0.8706441439156021
llava_1_5_7b,test,REAL,18,1228,0,0.3572253462601184,0.1209880083025847,0.27319923008594404,0.5214466318324372
llava_1_5_7b,test,REAL,19,1228,0,0.4077247558007701,0.12657824002644444,0.29609349514087796,0.6322311512893066
llava_1_5_7b,test,REAL,20,1228,0,0.45706566574284674,0.1542383058157723,0.3244072034570348,0.6364896586940934
llava_1_5_7b,test,REAL,21,1228,0,0.353530750271487,0.12055487603959876,0.28438760245218875,0.540427680592984
llava_1_5_7b,test,REAL,22,1228,0,0.1781493554364533,0.061845880493399195,0.12704621415557057,0.24353215805604123
llava_1_5_7b,test,REAL,23,1228,0,0.3653652178886499,0.11002974517159213,0.23632718094935018,0.5316765857860446
llava_1_5_7b,test,REAL,24,1228,0,0.25031223371541994,0.09165240303203097,0.16716932151096198,0.3208436076529324
llava_1_5_7b,test,REAL,25,1228,0,0.15117298798596343,0.06196577018073544,0.11774436299068233,0.20978166252847158
llava_1_5_7b,test,REAL,26,1228,0,0.11062791321936147,0.031444054148866564,0.056118513090864255,0.10839112384128384
llava_1_5_7b,test,REAL,27,1228,0,0.2507848553667387,0.10780979047605693,0.18497439035661786,0.34751632909338254
llava_1_5_7b,test,REAL,28,1228,0,0.12801645377810225,0.043364769707059596,0.07613835290610349,0.14466175351778723
llava_1_5_7b,test,REAL,29,1228,0,0.20056653888244022,0.05963025943943361,0.14620906635545347,0.30611330535835946
llava_1_5_7b,test,REAL,30,1228,0,0.206965936890255,0.09168154655824455,0.16131417765556014,0.3031108458560926
llava_1_5_7b,test,REAL,31,1228,0,0.5059183220537936,0.12474869808859446,0.28968306864611804,0.6296190384974969
llava_1_5_7b,test,REAL,32,1228,0,1.3272763815063906,0.5148754313052863,1.0542266957461834,2.068775441863441
llava_1_5_7b,test,HALL,1,333,0,0.04002344263084399,0.023260525924990238,0.03180090238924558,0.04483564333058894
llava_1_5_7b,test,HALL,2,333,0,0.04716244823251994,0.025168584686220637,0.03330332857299725,0.04530528444326529
llava_1_5_7b,test,HALL,3,333,0,0.07316154445118685,0.033825735080754385,0.04513564885197447,0.06570975698096762
llava_1_5_7b,test,HALL,4,333,0,0.06731851559435222,0.03471158036146176,0.04485298034101051,0.06626483284287735
llava_1_5_7b,test,HALL,5,333,0,0.08285364560509906,0.04161066670436412,0.05653603161386226,0.080195465295886
llava_1_5_7b,test,HALL,6,333,0,0.10088120107264158,0.05612326532200438,0.06965796310049925,0.09458960663442585
llava_1_5_7b,test,HALL,7,333,0,0.10291112897235713,0.06450062793114089,0.07937643150997735,0.10579501384026593
llava_1_5_7b,test,HALL,8,333,0,0.11433311089973049,0.06466977790357002,0.08535721425719764,0.11247812882938887
llava_1_5_7b,test,HALL,9,333,0,0.1447757994331288,0.09048057270673923,0.112223276486879,0.14930427245457065
llava_1_5_7b,test,HALL,10,333,0,0.14955713777814278,0.09386208044811034,0.10996562752074429,0.14288472752510148
