model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,prompt,1,9539,12,0.03189482751892809,0.02902786247432232,0.021145313046872616,0.04162704572081566
llava_1_5_7b,train,raw_attention,prompt,1,9539,13,0.03118317698198134,0.025133782997727394,0.01647939160466194,0.041197266429662704
llava_1_5_7b,train,raw_attention,prompt,1,9539,14,0.0362294627267046,0.03309505060315132,0.024049951694905758,0.045558467507362366
llava_1_5_7b,train,raw_attention,prompt,1,9539,15,0.03344950383713203,0.025062033906579018,0.01685747131705284,0.042207423597574234
llava_1_5_7b,train,raw_attention,prompt,1,9539,16,0.0366674392887451,0.030701937153935432,0.02374166902154684,0.04657483100891113
llava_1_5_7b,train,raw_attention,prompt,1,9539,17,0.03210076856633779,0.025597140192985535,0.019159994088113308,0.039329275488853455
llava_1_5_7b,train,raw_attention,prompt,1,9539,18,0.017159706982937745,0.011690719053149223,0.007697497494518757,0.02154155634343624
llava_1_5_7b,train,raw_attention,prompt,1,9539,19,0.019175460431867332,0.01132054254412651,0.007286626845598221,0.022388453595340252
llava_1_5_7b,train,raw_attention,prompt,1,9539,20,0.018015290133944848,0.011445131152868271,0.006380163133144379,0.023628614842891693
llava_1_5_7b,train,raw_attention,prompt,1,9539,21,0.023852244561177054,0.017763057723641396,0.012861382216215134,0.029589970596134663
llava_1_5_7b,train,raw_attention,prompt,1,9539,22,0.0075704316556959835,0.005268795415759087,0.003571433015167713,0.010192513465881348
llava_1_5_7b,train,raw_attention,prompt,1,9539,23,0.009879329350087387,0.006769848987460136,0.004517443478107452,0.01290325727313757
llava_1_5_7b,train,raw_attention,prompt,1,9539,24,0.007048434733607157,0.004818808287382126,0.0033615510910749435,0.008575771003961563
llava_1_5_7b,train,raw_attention,prompt,1,9539,25,0.021308564345192918,0.01774531416594982,0.01062796451151371,0.02942613512277603
llava_1_5_7b,train,raw_attention,prompt,1,9539,26,0.008949744583171286,0.007621433585882187,0.005772773176431656,0.011333944275975227
llava_1_5_7b,train,raw_attention,prompt,1,9539,27,0.02427148179199251,0.018194563686847687,0.012209351174533367,0.03298507258296013
llava_1_5_7b,train,raw_attention,prompt,1,9539,28,0.007253991722684134,0.0055392347276210785,0.0039672935381531715,0.009491712786257267
llava_1_5_7b,train,raw_attention,prompt,1,9539,29,0.021614678169692734,0.01823367178440094,0.01247849129140377,0.02934375498443842
llava_1_5_7b,train,raw_attention,prompt,1,9539,30,0.02305804773019331,0.020211655646562576,0.014808611012995243,0.029806099832057953
llava_1_5_7b,train,raw_attention,prompt,1,9539,31,0.02117470814404666,0.017875712364912033,0.012841576710343361,0.02754235826432705
llava_1_5_7b,train,raw_attention,prompt,1,9539,32,0.04691849766776164,0.044715799391269684,0.03519313037395477,0.05569375306367874
llava_1_5_7b,train,raw_attention,generated_text,0,2778,1,0.3742864884146475,0.39479967951774597,0.33433689922094345,0.4399441331624985
llava_1_5_7b,train,raw_attention,generated_text,0,2778,2,0.589579646769962,0.6155681908130646,0.5656034648418427,0.6407673060894012
llava_1_5_7b,train,raw_attention,generated_text,0,2778,3,0.14006331282459292,0.14048630744218826,0.12473783455789089,0.15535210072994232
llava_1_5_7b,train,raw_attention,generated_text,0,2778,4,0.1132531244022124,0.10832643508911133,0.09247897192835808,0.13155072927474976
llava_1_5_7b,train,raw_attention,generated_text,0,2778,5,0.12656525168447205,0.12439269945025444,0.10645561292767525,0.14276248589158058
llava_1_5_7b,train,raw_attention,generated_text,0,2778,6,0.17639965743437958,0.176341712474823,0.16286632046103477,0.1920275278389454
llava_1_5_7b,train,raw_attention,generated_text,0,2778,7,0.17051673244183402,0.17454670369625092,0.14912617951631546,0.19444401562213898
llava_1_5_7b,train,raw_attention,generated_text,0,2778,8,0.17687269634935304,0.17665765434503555,0.1568387821316719,0.2007649801671505
llava_1_5_7b,train,raw_attention,generated_text,0,2778,9,0.22627021997222976,0.22732872515916824,0.20103470981121063,0.25347696244716644
llava_1_5_7b,train,raw_attention,generated_text,0,2778,10,0.23413316200670362,0.23605561256408691,0.2085748128592968,0.26128678023815155
llava_1_5_7b,train,raw_attention,generated_text,0,2778,11,0.33934173942459755,0.34761060774326324,0.32023216784000397,0.3685629814863205
llava_1_5_7b,train,raw_attention,generated_text,0,2778,12,0.2822480743805911,0.2954002767801285,0.25802062451839447,0.3213524892926216
llava_1_5_7b,train,raw_attention,generated_text,0,2778,13,0.3112206006807505,0.3205382227897644,0.2851586937904358,0.3487277179956436
llava_1_5_7b,train,raw_attention,generated_text,0,2778,14,0.2758213019815171,0.28147538006305695,0.25611063092947006,0.3037538677453995
llava_1_5_7b,train,raw_attention,generated_text,0,2778,15,0.3118554321717795,0.31579215824604034,0.2836958095431328,0.34610798954963684
