model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,REAL,top32_mass,27,3869,0.6627854407141762,0.07774759169739759,0.6669124364852905,0.6124407052993774,0.7171462178230286
internvl_2_5_8b,attention_distribution,REAL,top32_mass,28,3869,0.618462121357256,0.08556680460316793,0.6215048432350159,0.5618747472763062,0.67885422706604
internvl_2_5_8b,attention_distribution,REAL,top32_mass,29,3869,0.7196487094287448,0.07831781985557164,0.7273320555686951,0.6695036888122559,0.7771254181861877
internvl_2_5_8b,attention_distribution,REAL,top32_mass,30,3869,0.6758716055113821,0.07327098037504777,0.6798090934753418,0.630041241645813,0.7280720472335815
internvl_2_5_8b,attention_distribution,REAL,top32_mass,31,3869,0.6649449113250919,0.07129005260787484,0.670490026473999,0.6199092268943787,0.7153139114379883
internvl_2_5_8b,attention_distribution,REAL,top32_mass,32,3869,0.5875537469963844,0.06817578422064055,0.5887997150421143,0.5432587265968323,0.6342188119888306
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,1,1321,0.863464364583162,0.050248846903507824,0.8706636428833008,0.8399434685707092,0.8978923559188843
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,2,1321,0.8020359488890805,0.04819161914045776,0.8062021136283875,0.7701542973518372,0.8367101550102234
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,3,1321,0.7899356081935152,0.06201798258214576,0.7974507808685303,0.7556816339492798,0.8319209218025208
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,4,1321,0.8352623223626731,0.04532592744708624,0.8413872122764587,0.807843804359436,0.8669016361236572
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,5,1321,0.8608912822425953,0.04068167231797166,0.8667657375335693,0.8398688435554504,0.8904673457145691
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,6,1321,0.8485429626716798,0.041392202908090175,0.8546096682548523,0.8244465589523315,0.8787407875061035
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,7,1321,0.8626532749999751,0.04952700145592831,0.8720816969871521,0.8443372249603271,0.8949000239372253
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,8,1321,0.8258334989352808,0.062395664730543976,0.8364562392234802,0.7990636825561523,0.8691356778144836
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,9,1321,0.8748296818256739,0.04057735141136285,0.8817731142044067,0.8539161682128906,0.9032995700836182
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,10,1321,0.794250117703697,0.07125708229569719,0.8020172119140625,0.7516910433769226,0.8449493646621704
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,11,1321,0.8122159733770473,0.07568066190504555,0.8266757726669312,0.7719288468360901,0.8676726818084717
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,12,1321,0.7826476440025405,0.0748541233942073,0.7894282341003418,0.7377873659133911,0.8359284400939941
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,13,1321,0.7239593615999373,0.0921397234463375,0.7305368185043335,0.6691702008247375,0.7887260317802429
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,14,1321,0.7829626752155284,0.07091550630989009,0.7925288081169128,0.7439162731170654,0.832939863204956
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,15,1321,0.7447937577398864,0.08274077605320483,0.7526046633720398,0.6940395832061768,0.8020365238189697
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,16,1321,0.7008277044252949,0.09440763018089403,0.7117560505867004,0.644142210483551,0.7653862833976746
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,17,1321,0.7207166224740654,0.08126383320272207,0.7282130718231201,0.6692318320274353,0.7786511182785034
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,18,1321,0.6835804281362885,0.11224012546737404,0.6960786581039429,0.6133489012718201,0.7668229341506958
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,19,1321,0.7090276248927914,0.08196031364396118,0.7169738411903381,0.6611949801445007,0.7667722702026367
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,20,1321,0.6641152902456235,0.1015353645460229,0.6742558479309082,0.6020328998565674,0.7387132048606873
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,21,1321,0.7213987632288705,0.08445540647013118,0.7311848998069763,0.6696047782897949,0.781977653503418
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,22,1321,0.6959715722457285,0.09865332520435884,0.709029495716095,0.6338099241256714,0.7657478451728821
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,23,1321,0.6926055445669277,0.11911900050516652,0.7073948383331299,0.6193390488624573,0.7832139134407043
