model,family,scale,group,label,layer,n,mean,median,q25,q75
shikra_7b,gated,raw,prompt,0,28,3886,0.07987342083008699,0.017074580304324627,0.011984796496108174,0.11662345193326473
shikra_7b,gated,raw,prompt,0,29,3886,0.07177894943178312,0.012747528497129679,0.007139308494515717,0.09567748010158539
shikra_7b,gated,raw,prompt,0,30,3886,0.07563826104250271,0.015803206712007523,0.009107469813898206,0.10443125478923321
shikra_7b,gated,raw,prompt,0,31,3886,0.08246351057798729,0.02295896876603365,0.015424639452248812,0.11859722435474396
shikra_7b,gated,raw,prompt,0,32,3886,0.07825464826308257,0.04736767336726189,0.03484353795647621,0.08763851039111614
shikra_7b,gated,raw,prompt,1,1,12818,0.29208918170935744,0.2912296801805496,0.20703893899917603,0.3630281835794449
shikra_7b,gated,raw,prompt,1,2,12818,0.21554026810429383,0.20805766433477402,0.1644301749765873,0.2599290460348129
shikra_7b,gated,raw,prompt,1,3,12818,0.15558055960651,0.15027719736099243,0.11588859558105469,0.18916133046150208
shikra_7b,gated,raw,prompt,1,4,12818,0.07667331424161446,0.017055820673704147,0.011180298868566751,0.1466381512582302
shikra_7b,gated,raw,prompt,1,5,12818,0.07278780912980111,0.013882323633879423,0.008751004235818982,0.14200065657496452
shikra_7b,gated,raw,prompt,1,6,12818,0.08064344236671178,0.014681830070912838,0.00885272235609591,0.11944732815027237
shikra_7b,gated,raw,prompt,1,7,12818,0.08088791298528226,0.016108582727611065,0.010049018543213606,0.11236719228327274
shikra_7b,gated,raw,prompt,1,8,12818,0.08839326975770155,0.01789112575352192,0.011402823030948639,0.1226210743188858
shikra_7b,gated,raw,prompt,1,9,12818,0.08377571894960831,0.020400873385369778,0.012723395368084311,0.11997382342815399
shikra_7b,gated,raw,prompt,1,10,12818,0.08422505632202368,0.024392401799559593,0.01454737177118659,0.11998495645821095
shikra_7b,gated,raw,prompt,1,11,12818,0.08910536054659994,0.024892677552998066,0.014067992102354765,0.14271000400185585
shikra_7b,gated,raw,prompt,1,12,12818,0.08861489136775098,0.024654497392475605,0.012267575599253178,0.14045682176947594
shikra_7b,gated,raw,prompt,1,13,12818,0.08199692659785822,0.02395192813128233,0.013951408909633756,0.13685933500528336
shikra_7b,gated,raw,prompt,1,14,12818,0.08890197158563416,0.03090448211878538,0.017136611975729465,0.14035779982805252
shikra_7b,gated,raw,prompt,1,15,12818,0.08981115684062324,0.028089298866689205,0.016050742473453283,0.14515504986047745
shikra_7b,gated,raw,prompt,1,16,12818,0.0794895974637144,0.02415459230542183,0.013457032619044185,0.12743373587727547
shikra_7b,gated,raw,prompt,1,17,12818,0.08643236875561014,0.028794878162443638,0.017878936138004065,0.13905944675207138
shikra_7b,gated,raw,prompt,1,18,12818,0.08316844164598082,0.02821429166942835,0.017574187833815813,0.12373888306319714
shikra_7b,gated,raw,prompt,1,19,12818,0.07766295855385053,0.019281539134681225,0.012841385090723634,0.09450878202915192
shikra_7b,gated,raw,prompt,1,20,12818,0.07378467896956567,0.021624045446515083,0.015170997241511941,0.08762131072580814
shikra_7b,gated,raw,prompt,1,21,12818,0.07788190226272425,0.021621222607791424,0.01435854728333652,0.08996573835611343
shikra_7b,gated,raw,prompt,1,22,12818,0.07469814684393355,0.017420140095055103,0.011593646602705121,0.08245087042450905
shikra_7b,gated,raw,prompt,1,23,12818,0.08710442624088054,0.0187706733122468,0.013126295991241932,0.09506891667842865
shikra_7b,gated,raw,prompt,1,24,12818,0.07480363702649426,0.02432574238628149,0.014376779785379767,0.08991353772580624
shikra_7b,gated,raw,prompt,1,25,12818,0.07396977358437883,0.012753929011523724,0.007639114046469331,0.08062642626464367
shikra_7b,gated,raw,prompt,1,26,12818,0.0836252085169031,0.013260731939226389,0.008305460913106799,0.09376214072108269
shikra_7b,gated,raw,prompt,1,27,12818,0.08087212852095405,0.01588137447834015,0.009671208914369345,0.08754834532737732
shikra_7b,gated,raw,prompt,1,28,12818,0.08119279185376778,0.020708857104182243,0.013676520204171538,0.08581109158694744
shikra_7b,gated,raw,prompt,1,29,12818,0.07747184557012551,0.020027521066367626,0.010331399505957961,0.08813464269042015
shikra_7b,gated,raw,prompt,1,30,12818,0.0812493184924015,0.021520327776670456,0.012138880556449294,0.09101714752614498
shikra_7b,gated,raw,prompt,1,31,12818,0.08782102322969676,0.02798820659518242,0.019071937538683414,0.0981684047728777
shikra_7b,gated,raw,prompt,1,32,12818,0.09068335717928172,0.05813184194266796,0.041838476434350014,0.09855562075972557
shikra_7b,gated,raw,generation,0,1,3886,0.29464963477486444,0.30278952419757843,0.2664869874715805,0.33926869183778763
shikra_7b,gated,raw,generation,0,2,3886,0.2445795436879132,0.24916021525859833,0.21721019223332405,0.2807881087064743
shikra_7b,gated,raw,generation,0,3,3886,0.25466590656741217,0.25602470338344574,0.22599336132407188,0.28748033195734024
shikra_7b,gated,raw,generation,0,4,3886,0.09975314891225612,0.09750736504793167,0.08425925299525261,0.11296747252345085
shikra_7b,gated,raw,generation,0,5,3886,0.1169656999763897,0.11603209748864174,0.1000896580517292,0.13351459056138992
shikra_7b,gated,raw,generation,0,6,3886,0.07626572077086352,0.07462964206933975,0.06194563768804073,0.08948145434260368
shikra_7b,gated,raw,generation,0,7,3886,0.09652874908566751,0.09538174048066139,0.07782245986163616,0.11481660790741444
shikra_7b,gated,raw,generation,0,8,3886,0.08121681467084021,0.07746675610542297,0.06397527642548084,0.09491623006761074
shikra_7b,gated,raw,generation,0,9,3886,0.10868178323779794,0.10821812972426414,0.09164590574800968,0.12606322020292282
