model,scope,label,layer,n_mentions,mean,median,q25,q75,source
qwen2_5_vl_7b,all,HALL,16,916,0.6604108027951165,0.6581321656703949,0.6151234209537506,0.7023830115795135,a_m
qwen2_5_vl_7b,all,HALL,17,916,0.7773147815895393,0.7967446446418762,0.7107214033603668,0.8626129627227783,a_m
qwen2_5_vl_7b,all,HALL,18,916,0.7094558117886818,0.7176836729049683,0.6472195386886597,0.7742185741662979,a_m
qwen2_5_vl_7b,all,HALL,19,916,0.5704305295275288,0.5627346634864807,0.5446790307760239,0.5856665074825287,a_m
qwen2_5_vl_7b,all,HALL,20,916,0.6269326134540109,0.6307297646999359,0.5958091169595718,0.6571157723665237,a_m
qwen2_5_vl_7b,all,HALL,21,916,0.7752715710013715,0.8037221729755402,0.7107958346605301,0.8551941365003586,a_m
qwen2_5_vl_7b,all,HALL,22,916,0.7988410401422384,0.8279390037059784,0.73541159927845,0.8861764669418335,a_m
qwen2_5_vl_7b,all,HALL,23,916,0.7461877184143233,0.7538098692893982,0.6741264313459396,0.8233166933059692,a_m
qwen2_5_vl_7b,all,HALL,24,916,0.8285149392472605,0.8429586887359619,0.7821338921785355,0.8876980543136597,a_m
qwen2_5_vl_7b,all,HALL,25,916,0.7268352545635148,0.7359704673290253,0.68196240067482,0.7770449221134186,a_m
qwen2_5_vl_7b,all,HALL,26,916,0.8705182359208186,0.8945390582084656,0.8391115218400955,0.9301768839359283,a_m
qwen2_5_vl_7b,all,HALL,27,916,0.6941328363647628,0.6983784735202789,0.6777575463056564,0.7158222198486328,a_m
qwen2_5_vl_7b,all,HALL,28,916,0.7795292881508582,0.7890620529651642,0.7099360525608063,0.867188349366188,a_m
qwen2_5_vl_7b,all,REAL,1,7801,0.7585010185232225,0.7876444458961487,0.7105651497840881,0.8193075060844421,e_m
qwen2_5_vl_7b,all,REAL,2,7801,0.6043506387070561,0.6758072972297668,0.41879400610923767,0.7378474473953247,e_m
qwen2_5_vl_7b,all,REAL,3,7801,0.5151318689635619,0.5161144733428955,0.47584962844848633,0.5527954697608948,e_m
qwen2_5_vl_7b,all,REAL,4,7801,0.45336276380668283,0.4470561444759369,0.411875456571579,0.4917551875114441,e_m
qwen2_5_vl_7b,all,REAL,5,7801,0.6060420389305917,0.5910770297050476,0.5419142842292786,0.6540632843971252,e_m
qwen2_5_vl_7b,all,REAL,6,7801,0.6479043908003675,0.6621177196502686,0.538824200630188,0.750568687915802,e_m
qwen2_5_vl_7b,all,REAL,7,7801,0.6658494854039099,0.6598742604255676,0.6177409887313843,0.703595757484436,e_m
qwen2_5_vl_7b,all,REAL,8,7801,0.735009330688356,0.7525046467781067,0.6664539575576782,0.8184377551078796,e_m
qwen2_5_vl_7b,all,REAL,9,7801,0.6700328991109324,0.6807472109794617,0.580635130405426,0.7626601457595825,e_m
qwen2_5_vl_7b,all,REAL,10,7801,0.7058612216613092,0.722158670425415,0.5879273414611816,0.8115322589874268,e_m
qwen2_5_vl_7b,all,REAL,11,7801,0.7085865347672083,0.7088759541511536,0.6494831442832947,0.7654744982719421,e_m
qwen2_5_vl_7b,all,REAL,12,7801,0.8280643617788991,0.8596778512001038,0.7458939552307129,0.9234856963157654,e_m
qwen2_5_vl_7b,all,REAL,13,7801,0.7174302167983226,0.7188622355461121,0.6486311554908752,0.7798182964324951,e_m
qwen2_5_vl_7b,all,REAL,14,7801,0.668714843018974,0.6788591742515564,0.5798555016517639,0.7525705695152283,e_m
qwen2_5_vl_7b,all,REAL,15,7801,0.6836064762602156,0.679042398929596,0.613158643245697,0.7441999912261963,e_m
qwen2_5_vl_7b,all,REAL,16,7801,0.6743675018904867,0.6724644899368286,0.6249871253967285,0.719245970249176,e_m
qwen2_5_vl_7b,all,REAL,17,7801,0.7211907418580136,0.7105017900466919,0.6268348693847656,0.8078052401542664,e_m
qwen2_5_vl_7b,all,REAL,18,7801,0.7164859427403004,0.7053295373916626,0.6512284874916077,0.7795323133468628,e_m
qwen2_5_vl_7b,all,REAL,19,7801,0.6194925149111179,0.6165780425071716,0.5974555015563965,0.6356587409973145,e_m
qwen2_5_vl_7b,all,REAL,20,7801,0.5856639116700681,0.5795215964317322,0.5518460869789124,0.61487877368927,e_m
qwen2_5_vl_7b,all,REAL,21,7801,0.714508445809062,0.7085511088371277,0.5932884216308594,0.8322417140007019,e_m
qwen2_5_vl_7b,all,REAL,22,7801,0.7353710611039836,0.7550121545791626,0.6091260313987732,0.8623257875442505,e_m
qwen2_5_vl_7b,all,REAL,23,7801,0.73281996435973,0.7408042550086975,0.6473053097724915,0.8220019340515137,e_m
qwen2_5_vl_7b,all,REAL,24,7801,0.9276722606298725,0.9480263590812683,0.9033148884773254,0.9692152142524719,e_m
qwen2_5_vl_7b,all,REAL,25,7801,0.8597040430519339,0.8766593337059021,0.8277326822280884,0.9094017744064331,e_m
qwen2_5_vl_7b,all,REAL,26,7801,0.9484620363364509,0.9631848931312561,0.9268597960472107,0.9809967875480652,e_m
qwen2_5_vl_7b,all,REAL,27,7801,0.7680213243521844,0.7684236168861389,0.7417879104614258,0.7957688570022583,e_m
qwen2_5_vl_7b,all,REAL,28,7801,0.7745448593382132,0.774483323097229,0.6997942924499512,0.8513967990875244,e_m
